idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text,prompt_original
1068,He is a qualified trainer and assessor and has consulted on a variety of teaching mediums for use in training programs relating to universal access.He has undertaken access audits and appraisals on a range of community facilities and his project development and implementation skills are second to none.,Teacher,5,26,1,Male,4,4 5 6 ,4 5 ,4 5 6 ,4 5 6 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  6. Dentist,4. Psychologist  5. Teacher,4. Psychologist  5. Teacher  6. Dentist,4. Psychologist  5. Teacher  6. Dentist,"He is a qualified trainer and assessor and has consulted on a variety of teaching mediums for use in training programs relating to universal access. He has undertaken access audits and appraisals on a range of community facilities and his project development and implementation skills are second to none. Michael is a member of the Victorian Institute of Teaching, an Accredited Member of the Association of Consultants in Access Australia and Secretary of Association of Consultants in Access Australia Victorian Network. BA, Dip Ed, Cert IV TAE, ACAA, VIT, Certificate IV in Access Consulting."
1069,She earned a bachelor's in communication from Rowan State University and a master's in school leadership from Wilmington University. She has worked at Cape High since 2003; before that she worked three years at Burlington County Regional High School in New Jersey.,Teacher,5,26,0,Female,5,3 5 0 ,5 ,3 5 ,3 5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,5. Teacher,3. Journalist  5. Teacher,3. Journalist  5. Teacher,She earned a bachelor's in communication from Rowan State University and a master's in school leadership from Wilmington University. She has worked at Cape High since 2003; before that she worked three years at Burlington County Regional High School in New Jersey.
1070,"Her 34-year public school experience spans instruction at the elementary, middle, high school and college levels.An expert in the fields of curriculum and instruction, she shared her talents as a teacher, alternative school principal and Director of Curriculum for the Greater Albany Public School District in Albany, Oregon.",Teacher,5,26,0,Female,5,4 5 0 ,5 ,5 ,5 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  0. Professor,5. Teacher,5. Teacher,5. Teacher,"Her 34-year public school experience spans instruction at the elementary, middle, high school and college levels. An expert in the fields of curriculum and instruction, she shared her talents as a teacher, alternative school principal and Director of Curriculum for the Greater Albany Public School District in Albany, Oregon. Diane used proficiency-based teaching and learning as a teacher, while also working as a proficiency training coach for Oregon's Proficiency-based Admissions Standards System(PASS). She is the author of It's About Time : A Proficiency-based Teaching & Learning Framework, currently being used by districts and classroom teachers as a self-reflection workbook. Diane has been providing professional development in proficiency-based teaching and learning for the Business Education Compact since 2007 and has held the position of Director of Teaching & Learning Initiative for the organization since her public school retirement in 2010."
1071,"Police did not elaborate about the incident, but say it happened on April 24 and involved a 14-year-old female student. Police add it was witnessed by...",Teacher,5,26,1,Male,3,3 5 9 ,3 5 9 ,3 5 6 9 ,3 5 6 9 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  9. Model,3. Journalist  5. Teacher  9. Model,3. Journalist  5. Teacher  6. Dentist  9. Model,3. Journalist  5. Teacher  6. Dentist  9. Model,"Police did not elaborate about the incident, but say it happened on April 24 and involved a 14-year-old female student. Police add it was witnessed by..."
1056,"He is a bitter old man with no soul, who hates everything and everyone around him. Enough credit can not be given to Neil Fleishon for doing such a great job at being the pathetic insect of a human being that he is. PHYS 132",Teacher,5,26,1,Male,9,2 5 9 ,2 9 ,1 2 5 9 ,2 5 9 ,The best answer is 5. Teacher.,2. Photographer  5. Teacher  9. Model,2. Photographer  9. Model,1. Physician  2. Photographer  5. Teacher  9. Model,2. Photographer  5. Teacher  9. Model,"He is a bitter old man with no soul, who hates everything and everyone around him. Enough credit can not be given to Neil Fleishon for doing such a great job at being the pathetic insect of a human being that he is. PHYS 132"
1057,"Hestudied music at the McNally Smith College of Music in St. Paul, MN and Musicians Institute in Hollywood, CA where he graduated with ""Rock Drummer of The Year ""honors.Following graduation, he was signed to Universal Records with the hard rock act, Speak No Evil and toured extensively throughout the United States.",Teacher,5,26,1,Male,5,3 5 9 ,5 ,5 9 ,5 9 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  9. Model,5. Teacher,5. Teacher  9. Model,5. Teacher  9. Model,"Hestudied music at the McNally Smith College of Music in St. Paul, MN and Musicians Institute in Hollywood, CA where he graduated with ""Rock Drummer of The Year ""honors. Following graduation, he was signed to Universal Records with the hard rock act, Speak No Evil and toured extensively throughout the United States. He has since toured Europe with his band JKB and has achieved critical acclaim through his work with his Rock-Fusion trio, EGH, with the CD re- leases Live at MI and It's About Time. Charlie's also stays busy writing, producing and mixing for his production company Abrasive Productions and various TV shows including ""Malcolm in the Middle ""(Fox Television) at his studio in Hollywood, CA. For PIT, Charlie teaches private lessons, Live Playing Workshops, Rock Drums & Rhythm Section Workshop."
1058,"From 1992-2001 he was a senior writer at Teacher Magazine and contributing editor at Education Week; in 1995, he was a finalist for the National Magazine Award in public affairs reporting.",Teacher,5,26,1,Male,3,3 5 0 ,3 ,3 ,3 5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,3. Journalist,3. Journalist,3. Journalist  5. Teacher,"From 1992-2001 he was a senior writer at Teacher Magazine and contributing editor at Education Week; in 1995, he was a finalist for the National Magazine Award in public affairs reporting."
1059,As Artistic Director of Anthony Meindl's Actor Workshop(AMAW - voted best acting school in Los Angeles by Backstage Magazine) - where the'right brain rules'- he is endlessly inspired by his student's fearless creativity.,Teacher,5,26,1,Male,5,2 4 5 ,5 ,5 ,5 ,The best answer is 5. Teacher.,2. Photographer  4. Psychologist  5. Teacher,5. Teacher,5. Teacher,5. Teacher,As Artistic Director of Anthony Meindl's Actor Workshop(AMAW - voted best acting school in Los Angeles by Backstage Magazine) - where the'right brain rules'- he is endlessly inspired by his student's fearless creativity.
1060,Dana was recently honored by Princeton University as the 2012 recipient of the Distinguished Secondary Teaching Award and also received the James Moffett Award for Teacher Research at the 2012 National Council of Teachers of English Annual Convention. She is a a passionate educator and experienced teacher trainer and curriculum writer.,Teacher,5,26,0,Female,5,3 5 0 ,5 ,5 ,5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,5. Teacher,5. Teacher,5. Teacher,Dana was recently honored by Princeton University as the 2012 recipient of the Distinguished Secondary Teaching Award and also received the James Moffett Award for Teacher Research at the 2012 National Council of Teachers of English Annual Convention. She is a a passionate educator and experienced teacher trainer and curriculum writer.
1061,"Ms. Kremin also serves as a trainer for the Crisis Prevention Institute in Nonviolent Crisis Intervention.Sarah is the Children and Disability Ministry Director at Cornerstone United Methodist in Portsmouth, Ohio.",Teacher,5,26,0,Female,5,1 4 5 ,4 5 ,1 4 5 ,4 5 ,The best answer is 5. Teacher.,1. Physician  4. Psychologist  5. Teacher,4. Psychologist  5. Teacher,1. Physician  4. Psychologist  5. Teacher,4. Psychologist  5. Teacher,"Ms. Kremin also serves as a trainer for the Crisis Prevention Institute in Nonviolent Crisis Intervention. Sarah is the Children and Disability Ministry Director at Cornerstone United Methodist in Portsmouth, Ohio. Her love for families affected by disability has led her to serve at Family Retreat for seven years and she has been a member of the Board of Directors for Joni and Friends Ohio for the past two years. Featured Links"
1062,"Curt has a Bachelor's degree from The Ohio State University and is currently pursuing a degree in education, all while watching every mixed martial arts fight and college wrestling match he possibly can. Curt has a background in wrestling, and will always be a fan of Mark Coleman and Chuck Liddell due to their explosiveness and ability to end a fight at any given time, despite their age.",Teacher,5,26,1,Male,5,5 7 9 ,5 9 ,5 7 9 ,5 7 9 ,The best answer is 5. Teacher.,5. Teacher  7. Surgeon  9. Model,5. Teacher  9. Model,5. Teacher  7. Surgeon  9. Model,5. Teacher  7. Surgeon  9. Model,"Curt has a Bachelor's degree from The Ohio State University and is currently pursuing a degree in education, all while watching every mixed martial arts fight and college wrestling match he possibly can. Curt has a background in wrestling, and will always be a fan of Mark Coleman and Chuck Liddell due to their explosiveness and ability to end a fight at any given time, despite their age."
1063,"Over the years he has filled many roles, the most important being Outreach Coordinator for the school, leading teams of students and staff overseas to help communities in developing countries and Head Teacher of the Technology Faculty, leading a team of inspirational teachers and developing innovative courses.",Teacher,5,26,1,Male,5,2 3 5 ,3 5 ,5 ,3 5 ,The best answer is 5. Teacher.,2. Photographer  3. Journalist  5. Teacher,3. Journalist  5. Teacher,5. Teacher,3. Journalist  5. Teacher,"Over the years he has filled many roles, the most important being Outreach Coordinator for the school, leading teams of students and staff overseas to help communities in developing countries and Head Teacher of the Technology Faculty, leading a team of inspirational teachers and developing innovative courses."
1112,"She is the recipient of the Katha Award for Translation and has also received the Karnataka Sahitya Akademi Award for her translation of Tejaswi's Carverlho. She has collaborated with Ramachandra Sharma in translating a number of works from Kannada into English, including Masti's Chikaveera Rajendra and KuvempuaEUR(tm) s The House of Kanooru.",Teacher,5,26,0,Female,5,3 5 0 ,3 5 ,3 5 ,5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,3. Journalist  5. Teacher,3. Journalist  5. Teacher,5. Teacher,"She is the recipient of the Katha Award for Translation and has also received the Karnataka Sahitya Akademi Award for her translation of Tejaswi's Carverlho. She has collaborated with Ramachandra Sharma in translating a number of works from Kannada into English, including Masti's Chikaveera Rajendra and KuvempuaEUR(tm) s The House of Kanooru."
1113,She is also a freelance teacher trainer who gives sessions for the Centro de Profesores in Seville.The Mind's Eye(with Francoise Grellet and Alan Duff).who not only perceive English to be the language of opportunity for their offspring.in this series.Spain.Italy.Sounds Interesting.A.She has taught many levels and age groups.and who inhabit a world quite different from that of their elders.,Teacher,5,26,0,Female,5,4 5 9 ,5 ,5 ,5 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  9. Model,5. Teacher,5. Teacher,5. Teacher,She is also a freelance teacher trainer who gives sessions for the Centro de Profesores in Seville. The Mind's Eye(with Francoise Grellet and Alan Duff). who not only perceive English to be the language of opportunity for their offspring. in this series. Spain. Italy. Sounds Interesting. A. She has taught many levels and age groups. and who inhabit a world quite different from that of their elders. a major problem arises in the supply of adequately trained and appropriately experienced teachers. and Short and Sweet. and Drama Techniques in Language Learning(all with Alan Duff). She has an M.
1114,"Her non-fiction title, Autism By Hand, is an Amazon bestseller and is practical advice she gleaned from raising her profoundly autistic daughter. Where to find Lorca Damon online",Teacher,5,26,0,Female,3,3 4 5 ,3 4 ,3 4 ,3 4 ,The best answer is 5. Teacher.,3. Journalist  4. Psychologist  5. Teacher,3. Journalist  4. Psychologist,3. Journalist  4. Psychologist,3. Journalist  4. Psychologist,"Her non-fiction title, Autism By Hand, is an Amazon bestseller and is practical advice she gleaned from raising her profoundly autistic daughter. Where to find Lorca Damon online"
1115,"She specializes in collecting and researching Lancaster Glass.A lifelong resident of the Greater New Orleans area, Kay has been a member of the Crescent City Depression Glass Club for seven years and the National Depression Glass Association.She is currently the editor of the CCDGS newsletter.Produced in the'20s, these bowls are clear and iridized, reverse painted in red green and hand-painted.",Teacher,5,26,0,Female,8,2 8 0 ,2 8 ,2 3 8 0 ,2 8 0 ,The best answer is 5. Teacher.,2. Photographer  8. Painter  0. Professor,2. Photographer  8. Painter,2. Photographer  3. Journalist  8. Painter  0. Professor,2. Photographer  8. Painter  0. Professor,"She specializes in collecting and researching Lancaster Glass. A lifelong resident of the Greater New Orleans area, Kay has been a member of the Crescent City Depression Glass Club for seven years and the National Depression Glass Association. She is currently the editor of the CCDGS newsletter. Produced in the'20s, these bowls are clear and iridized, reverse painted in red green and hand-painted."
1116,"She has extensive experience with the NJ public schools in the positions of : teacher, child study team member, case manager, supervisor, school psychologist and Director of Auxiliary Pupil Services.",Teacher,5,26,0,Female,5,4 5 0 ,4 5 ,4 5 0 ,4 5 0 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,"She has extensive experience with the NJ public schools in the positions of : teacher, child study team member, case manager, supervisor, school psychologist and Director of Auxiliary Pupil Services. Liz thoroughly enjoys working children with developmental disabilities as well as with their families and personnel responsible for providing programming, educational, vocational, in-home and residential services. Copyright(c) 2011 Friends of Cyrus. All Rights Reserved."
1117,"In 2016, she was named a School Librarian of the Year Award Finalist by School Library Journal and Scholastic for her success creating a dynamic and collaborative safe haven for students within the school library. Follow her at @anitacellucci. ok(c) Scholastic Inc. * PRIVACY POLICY * Terms of Use",Teacher,5,26,0,Female,5,3 5 0 ,5 ,5 ,5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,5. Teacher,5. Teacher,5. Teacher,"In 2016, she was named a School Librarian of the Year Award Finalist by School Library Journal and Scholastic for her success creating a dynamic and collaborative safe haven for students within the school library. Follow her at @anitacellucci. ok(c) Scholastic Inc. * PRIVACY POLICY * Terms of Use"
1118,"He, too, is a Disney ""All-American Teacher ""and received the Illinois Golden Apple Teacher of Distinction. A colleague of Glenn's said, ""Whether it be teaching, coaching, volunteering, or working with students or staff, Glenn puts his heart and soul into everything he attempts. """,Teacher,5,26,1,Male,5,3 5 6 ,5 ,5 ,5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  6. Dentist,5. Teacher,5. Teacher,5. Teacher,"He, too, is a Disney ""All-American Teacher ""and received the Illinois Golden Apple Teacher of Distinction. A colleague of Glenn's said, ""Whether it be teaching, coaching, volunteering, or working with students or staff, Glenn puts his heart and soul into everything he attempts. """
1119,"He has created and led numerous professional workshops and classes on leadership, systems thinking, coaching, meditation, diversity, and creativity, and has served as a college faculty member and the president of his Universalist Unitarian church.He lives in Worcester, MA, with his wife, also a Zen teacher.",Teacher,5,26,1,Male,5,4 5 0 ,4 5 ,5 ,5 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher,5. Teacher,5. Teacher,"He has created and led numerous professional workshops and classes on leadership, systems thinking, coaching, meditation, diversity, and creativity, and has served as a college faculty member and the president of his Universalist Unitarian church. He lives in Worcester, MA, with his wife, also a Zen teacher. Rynick is starting a tour of book signings and speaking engagements around the U.S. next week; check here for the schedule."
1040,"She earned a BA from Boston University in International Relations and a MAT from Brown University.She spent two incredible years working at Phoenix Charter Academy in Chelsea, MA teaching academically rigorous Humanities to students aged 14-22 with historic academic under-performance.",Teacher,5,26,0,Female,5,4 5 0 ,5 ,5 ,5 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  0. Professor,5. Teacher,5. Teacher,5. Teacher,"She earned a BA from Boston University in International Relations and a MAT from Brown University. She spent two incredible years working at Phoenix Charter Academy in Chelsea, MA teaching academically rigorous Humanities to students aged 14-22 with historic academic under-performance. While at Phoenix, Kaitlin also founded a Student Events Committee, an Academic Congress, and began a Mentoring Program for aspiring teachers. Missing the Green Mountains, Kaitlin returned to her home state of Vermont and is currently the Pre-Technical Outreach Instructor at the Barre Technical Center. Her program aims to help students develop their leadership skills while doing their part to develop their community."
1041,She has a firm and tested understanding of what it takes to help students learn. She also has a firm and tested understanding of the importance of maintaining a safe and orderly environment that is essential to learning for all students.,Teacher,5,26,0,Female,5,4 5 6 ,5 ,5 ,5 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  6. Dentist,5. Teacher,5. Teacher,5. Teacher,She has a firm and tested understanding of what it takes to help students learn. She also has a firm and tested understanding of the importance of maintaining a safe and orderly environment that is essential to learning for all students.
1042,"Shira spent the last five years teaching in the Alaskan bush where she improved student test scores for all five years. She currently tutors all subjects of the ACT and SAT, as well as high school entrance exams.",Teacher,5,26,0,Female,5,3 5 0 ,5 ,5 ,5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,5. Teacher,5. Teacher,5. Teacher,"Shira spent the last five years teaching in the Alaskan bush where she improved student test scores for all five years. She currently tutors all subjects of the ACT and SAT, as well as high school entrance exams."
1043,"He was born in Puerto Rico, grew up in New York City and served in the U.S. Air Force.He is currently working with the Binghamton Youth Bureau and Broome County Gang Prevention on helping students at risk, and formed the school's Brother to Brother program.""Mister D ""was one of the organizers of Broome County's first Youth Summit in November, 2007.",Teacher,5,26,1,Male,5,3 4 5 ,5 ,5 ,5 ,The best answer is 5. Teacher.,3. Journalist  4. Psychologist  5. Teacher,5. Teacher,5. Teacher,5. Teacher,"He was born in Puerto Rico, grew up in New York City and served in the U.S. Air Force. He is currently working with the Binghamton Youth Bureau and Broome County Gang Prevention on helping students at risk, and formed the school's Brother to Brother program. ""Mister D ""was one of the organizers of Broome County's first Youth Summit in November, 2007. Students from grades 6-12 were invited to speak out in an afternoon-long party atmosphere about personal and community problems, home and school life. There was also a dramatic reading of sections of ""Spirit of the Gang ""."
1044,"A passionate writer, Greg was a journalist and podcaster at Gustavus Adolphus College in St. Peter where he managed the campus radio station and majored in Communication Studies.While studying abroad in Zhuhai, China he created and piloted an internship for aspiring journalists interested in new media development and deployment.The internship involved prodction of a weekly podcast from overseas.",Teacher,5,26,1,Male,3,3 5 0 ,3 ,3 ,3 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,3. Journalist,3. Journalist,3. Journalist,"A passionate writer, Greg was a journalist and podcaster at Gustavus Adolphus College in St. Peter where he managed the campus radio station and majored in Communication Studies. While studying abroad in Zhuhai, China he created and piloted an internship for aspiring journalists interested in new media development and deployment. The internship involved prodction of a weekly podcast from overseas. Greg's work with KGSM Radio can be found at KGSM's website. Greg was also a semi-regular columnist for The Gustavian Weekly, Gustavus's student run newspaper. Many of his columns can be found at his website."
1045,"She views life as an adventure, and she takes the readers along with her as they venture this life on their own journey. Bonnie is a sought after speaker as well as pastor of the ministry Righteousness Being Restored where she resides in Austintown, Ohio, with her husband Wayne. Her greatest loves are the Lord, her family, ministry, friends, and her two cats. Visit Bonnie's website.",Teacher,5,26,0,Female,5,3 4 5 ,5 ,5 ,5 ,The best answer is 5. Teacher.,3. Journalist  4. Psychologist  5. Teacher,5. Teacher,5. Teacher,5. Teacher,"She views life as an adventure, and she takes the readers along with her as they venture this life on their own journey. Bonnie is a sought after speaker as well as pastor of the ministry Righteousness Being Restored where she resides in Austintown, Ohio, with her husband Wayne. Her greatest loves are the Lord, her family, ministry, friends, and her two cats. Visit Bonnie's website."
1046,"Throughout his blogs, he shares lesson ideas, activities, curriculum management, etc. He also has a comprehensive list of activities for calculus via Scribd as well as several links to other similar mathematical blogs.",Teacher,5,26,1,Male,5,3 4 5 ,3 5 ,5 ,5 ,The best answer is 5. Teacher.,3. Journalist  4. Psychologist  5. Teacher,3. Journalist  5. Teacher,5. Teacher,5. Teacher,"Throughout his blogs, he shares lesson ideas, activities, curriculum management, etc. He also has a comprehensive list of activities for calculus via Scribd as well as several links to other similar mathematical blogs."
1047,"With his father's encouragement, Meszaros said he went to college and studied criminal justice, always intending to help troubled youth. That path, however, led him to Sussex Consortium as a teacher helping students transition to a regular-class setting.",Teacher,5,26,1,Male,5,3 4 5 ,3 5 ,5 ,3 5 ,The best answer is 5. Teacher.,3. Journalist  4. Psychologist  5. Teacher,3. Journalist  5. Teacher,5. Teacher,3. Journalist  5. Teacher,"With his father's encouragement, Meszaros said he went to college and studied criminal justice, always intending to help troubled youth. That path, however, led him to Sussex Consortium as a teacher helping students transition to a regular-class setting."
1096,She is an organizer for the Asheville Prison Books Program and lead a women's reading group at the Swannanoa Women's Correctional Facility. Show Comments,Teacher,5,26,0,Female,5,3 5 0 ,3 5 0 ,5 0 ,5 0 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,3. Journalist  5. Teacher  0. Professor,5. Teacher  0. Professor,5. Teacher  0. Professor,She is an organizer for the Asheville Prison Books Program and lead a women's reading group at the Swannanoa Women's Correctional Facility. Show Comments
1097,He is an active member of the Brentford and Isleworth Constituency Labour Party. He has a particular interest in how Labour Party policy is formulated. Last year he organised a widely circulated collection of reviews of the policy statements produced by the National Policy Forum. He is currently doing the same for the current policy review drafts.,Teacher,5,26,1,Male,3,3 5 0 ,3 5 ,3 5 ,3 5 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,3. Journalist  5. Teacher,3. Journalist  5. Teacher,3. Journalist  5. Teacher,He is an active member of the Brentford and Isleworth Constituency Labour Party. He has a particular interest in how Labour Party policy is formulated. Last year he organised a widely circulated collection of reviews of the policy statements produced by the National Policy Forum. He is currently doing the same for the current policy review drafts.
1098,"She is the one who introduced her parents to the organization that was established from a deep-seated belief that the responsibility of providing care for challenged children should not fall directly on the families themselves but, rather, that they deserve the support and involvement of the wider communities in which they live.",Teacher,5,26,0,Female,5,4 5 9 ,4 5 ,3 4 5 9 ,4 5 9 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  9. Model,4. Psychologist  5. Teacher,3. Journalist  4. Psychologist  5. Teacher  9. Model,4. Psychologist  5. Teacher  9. Model,"She is the one who introduced her parents to the organization that was established from a deep-seated belief that the responsibility of providing care for challenged children should not fall directly on the families themselves but, rather, that they deserve the support and involvement of the wider communities in which they live."
1099,She is an M.Ed graduate student of OISE(the Ontario Institute for Studies in Education) at the University of Toronto and holds a B.Ed from the University of Toronto and a BBA from York University in Toronto.,Teacher,5,26,0,Female,0,4 5 0 ,5 0 ,4 5 0 ,4 5 0 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  0. Professor,5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,She is an M.Ed graduate student of OISE(the Ontario Institute for Studies in Education) at the University of Toronto and holds a B.Ed from the University of Toronto and a BBA from York University in Toronto.
1100,"Born in San Francisco in 1943, he graduated from the University of California at Berkeley with a psychology degree and worked in an Air Force psychiatric clinic. In 1969 he met Dainin Katagiri Roshi in San Francisco, and moved to Minneapolis when Katagiri Roshi went there in 1972. He was ordained in 1978 and received Dharma Transmission in 1989.",Teacher,5,26,1,Male,4,1 4 5 ,1 4 5 0 ,1 4 5 0 ,1 4 5 ,The best answer is 5. Teacher.,1. Physician  4. Psychologist  5. Teacher,1. Physician  4. Psychologist  5. Teacher  0. Professor,1. Physician  4. Psychologist  5. Teacher  0. Professor,1. Physician  4. Psychologist  5. Teacher,"Born in San Francisco in 1943, he graduated from the University of California at Berkeley with a psychology degree and worked in an Air Force psychiatric clinic. In 1969 he met Dainin Katagiri Roshi in San Francisco, and moved to Minneapolis when Katagiri Roshi went there in 1972. He was ordained in 1978 and received Dharma Transmission in 1989."
1101,"He has been teaching English as a foreign language for many years throughout the world. He brings a professional background in IT and Systems Design as well as his experience as an accomplished professional artist. Originally from London in the UK, he lives in Curitiba, Brazil.",Teacher,5,26,1,Male,5,2 5 8 ,5 ,5 ,5 8 ,The best answer is 5. Teacher.,2. Photographer  5. Teacher  8. Painter,5. Teacher,5. Teacher,5. Teacher  8. Painter,"He has been teaching English as a foreign language for many years throughout the world. He brings a professional background in IT and Systems Design as well as his experience as an accomplished professional artist. Originally from London in the UK, he lives in Curitiba, Brazil."
1102,She was awarded 1st place in Textile Design for the Laminex Group ISP student design award in 2003.Prior to that Fiona was a Senior Design Lecturer at The Whitehouse Institute of Design for four years teaching in both Fashion & Interiors.Fiona has her own residential styling and design company called Echo 11.,Teacher,5,26,0,Female,9,2 5 9 ,9 ,9 ,2 9 ,The best answer is 5. Teacher.,2. Photographer  5. Teacher  9. Model,9. Model,9. Model,2. Photographer  9. Model,"She was awarded 1st place in Textile Design for the Laminex Group ISP student design award in 2003. Prior to that Fiona was a Senior Design Lecturer at The Whitehouse Institute of Design for four years teaching in both Fashion & Interiors. 
 Fiona has her own residential styling and design company called Echo 11. She has designed, styled & managed renovations of residential properties that have featured in Vogue Living, POL Oxygen Design Directory & Home Beautiful. Fiona is also a member of the DIA(Design Institute of Australia). Fiona Goss"
1103,"Visit his tantra online guide to read more about Ancient Tantric orgasms and tantric positions, learn tantra exercises and tantric techniques from this young Tantra Master. Comments(8) Tantra Instruction - The Forgotten Treasure Of Vigyan Bhairav Tantra",Teacher,5,26,1,Male,5,4 5 8 ,5 ,5 ,5 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  8. Painter,5. Teacher,5. Teacher,5. Teacher,"Visit his tantra online guide to read more about Ancient Tantric orgasms and tantric positions, learn tantra exercises and tantric techniques from this young Tantra Master. Comments(8) Tantra Instruction - The Forgotten Treasure Of Vigyan Bhairav Tantra"
1088,"He is also a graduate of BCI's first Bat Ecology Field Workshop in 1989. In 1990 Stuart was selected as Oregon Teacher of the Year. Pat Greenlee has worked for the Forest Service for 20 years and is currently Coordinator for Threatened, Endangered, and Sensitive Species for the Willamette National Forest.",Teacher,5,26,1,Male,5,2 5 0 ,5 0 ,5 0 ,5 0 ,The best answer is 5. Teacher.,2. Photographer  5. Teacher  0. Professor,5. Teacher  0. Professor,5. Teacher  0. Professor,5. Teacher  0. Professor,"He is also a graduate of BCI's first Bat Ecology Field Workshop in 1989. In 1990 Stuart was selected as Oregon Teacher of the Year. Pat Greenlee has worked for the Forest Service for 20 years and is currently Coordinator for Threatened, Endangered, and Sensitive Species for the Willamette National Forest."
1089,"She received her bachelor's degree at Mississippi Valley State University and her master's degree at Abundant Blessings Theological Seminary. In her spare time, she enjoys sewing, cooking, reading and gardening. Uphold is the mother of two and grandmother of 10.",Teacher,5,26,0,Female,5,1 5 0 ,5 ,5 ,5 ,The best answer is 5. Teacher.,1. Physician  5. Teacher  0. Professor,5. Teacher,5. Teacher,5. Teacher,"She received her bachelor's degree at Mississippi Valley State University and her master's degree at Abundant Blessings Theological Seminary. In her spare time, she enjoys sewing, cooking, reading and gardening. Uphold is the mother of two and grandmother of 10."
1090,"Her free time includes guitar playing, wine drinking and travel planning. As a child of Colombian and Filipino heritage, writing became a way for her to make sense of her two worlds.",Teacher,5,26,0,Female,5,2 3 5 ,2 3 5 ,2 3 5 8 ,2 3 5 ,The best answer is 5. Teacher.,2. Photographer  3. Journalist  5. Teacher,2. Photographer  3. Journalist  5. Teacher,2. Photographer  3. Journalist  5. Teacher  8. Painter,2. Photographer  3. Journalist  5. Teacher,"Her free time includes guitar playing, wine drinking and travel planning. As a child of Colombian and Filipino heritage, writing became a way for her to make sense of her two worlds."
1091,"She also develops research in nature conservation.She is usually found working in multidisciplinary environments and enjoys developing new, transdisciplinar models for human-nature relationships, alongside social technologies for transformative learning.She has been promoting these action-research approaches in several international programmes related to development and sustainability.",Teacher,5,26,0,Female,0,4 5 0 ,4 5 0 ,4 5 0 ,4 5 0 ,The best answer is 5. Teacher.,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  5. Teacher  0. Professor,"She also develops research in nature conservation. She is usually found working in multidisciplinary environments and enjoys developing new, transdisciplinar models for human-nature relationships, alongside social technologies for transformative learning. She has been promoting these action-research approaches in several international programmes related to development and sustainability. Lately she caught up with open network learning, and she is keen to critically explore the potentials of humanistic education and interactive pedagogy in digital spaces.."
1092,"That first book, The Body in the Belfry, won an Agatha Award for Best First Novel.She's been producing mysteries and winning awards regularly ever since.The Body in the Boudoir, the twentieth in the Faith Fairchild series, returns to Faith's past and tells the story of how she met and fell in love with her husband, Tom, without letting a murder spoil things for them.",Teacher,5,26,0,Female,3,2 3 5 ,3 5 ,2 3 5 ,3 5 ,The best answer is 5. Teacher.,2. Photographer  3. Journalist  5. Teacher,3. Journalist  5. Teacher,2. Photographer  3. Journalist  5. Teacher,3. Journalist  5. Teacher,"That first book, The Body in the Belfry, won an Agatha Award for Best First Novel. She's been producing mysteries and winning awards regularly ever since. The Body in the Boudoir, the twentieth in the Faith Fairchild series, returns to Faith's past and tells the story of how she met and fell in love with her husband, Tom, without letting a murder spoil things for them. To learn more about Katherine and her books, visit her website."
